,FSN_E_l,GPeTI_E_l,GPeTA_E_l,D1_V_peak,D1_ada_b,SNR_E_l,FSN->FSN_weight,GPeTA->FSN_weight,GPeTI->FSN_weight,GPeTA->GPeTA_weight,GPeTA->GPeTI_weight,GPeTI->GPeTI_weight,GPeTI->GPeTA_weight,D2->GPeTI_weight,STN->GPeTA_weight,STN->GPeTI_weight,FSN->D2_connectivity,D1->D1_connectivity,D1->D2_connectivity,D2->D1_connectivity,D2->D2_connectivity,D1->D1_weight,D1->D2_weight,D2->D1_weight,D2->D2_weight,GPeTA->D1_weight,D1->SNR_weight,GPeTI->STN_weight,D1_fmax,D1_fmean,D1_norm_beta_power,D1_norm_low_gamma_power,D1_norm_high_gamma_power,D1_beta_power,D1_low_gamma_power,D1_high_gamma_power,D1_entropy,D1_mean_fr,D2_fmax,D2_fmean,D2_norm_beta_power,D2_norm_low_gamma_power,D2_norm_high_gamma_power,D2_beta_power,D2_low_gamma_power,D2_high_gamma_power,D2_entropy,D2_mean_fr,FSN_fmax,FSN_fmean,FSN_norm_beta_power,FSN_norm_low_gamma_power,FSN_norm_high_gamma_power,FSN_beta_power,FSN_low_gamma_power,FSN_high_gamma_power,FSN_entropy,FSN_mean_fr,GPeTI_fmax,GPeTI_fmean,GPeTI_norm_beta_power,GPeTI_norm_low_gamma_power,GPeTI_norm_high_gamma_power,GPeTI_beta_power,GPeTI_low_gamma_power,GPeTI_high_gamma_power,GPeTI_entropy,GPeTI_mean_fr,GPeTA_fmax,GPeTA_fmean,GPeTA_norm_beta_power,GPeTA_norm_low_gamma_power,GPeTA_norm_high_gamma_power,GPeTA_beta_power,GPeTA_low_gamma_power,GPeTA_high_gamma_power,GPeTA_entropy,GPeTA_mean_fr,STN_fmax,STN_fmean,STN_norm_beta_power,STN_norm_low_gamma_power,STN_norm_high_gamma_power,STN_beta_power,STN_low_gamma_power,STN_high_gamma_power,STN_entropy,STN_mean_fr,SNR_fmax,SNR_fmean,SNR_norm_beta_power,SNR_norm_low_gamma_power,SNR_norm_high_gamma_power,SNR_beta_power,SNR_low_gamma_power,SNR_high_gamma_power,SNR_entropy,SNR_mean_fr
2,0.04081632653061224,0.04081632653061224,0.04081632653061224,0.04081632653061224,0.04081632653061224,0.04081632653061224,0.04081632653061224,0.04081632653061224,0.04081632653061224,0.04081632653061224,0.04081632653061224,0.04081632653061224,0.04081632653061224,0.04081632653061224,0.04081632653061224,0.04081632653061224,0.04081632653061224,0.04081632653061224,0.04081632653061224,0.04081632653061224,0.04081632653061224,0.04081632653061224,0.04081632653061224,0.04081632653061224,0.04081632653061224,0.04081632653061224,0.04081632653061224,0.04081632653061224,14.5,15.694236426432742,0.9426888156072143,0.015353946027398084,0.009472522358960683,1619.3951084182672,26.375729381779948,16.272343660514096,1.6592283080300485,5.757833333333333,14.5,15.706816298358042,0.9180629482234032,0.010344801038073476,0.01145061253297214,226.6689747627352,2.554122731956714,2.8271466660067492,1.9382207485368845,2.0640666666666663,14.5,16.820495184400862,0.828123519753214,0.037156118852935786,0.01664728537488326,38.184932740273354,1.7132756955288124,0.7676094896296255,2.6041012563708605,12.84095238095238,14.5,15.886961312389204,0.7467886248509891,0.017805831549183936,0.017447023821389084,547.55831573692,13.055543173695083,12.792459151567748,3.017817525545802,41.6125641025641,14.5,18.959968024658245,0.6430622960217179,0.13619063035564014,0.10128700027543763,19.85993750101656,4.2060270425117805,3.1280849578338565,3.2218246132668797,9.394615384615385,14.5,15.793299700243514,0.7602124880122112,0.018073324638850426,0.018604204103187628,22.969120016228977,0.546068854784921,0.562108888752788,3.1837930314899974,17.494117647058825,14.5,16.765899160941082,0.9201064304459392,0.01767915123093998,0.026908488476978035,34368.31956718041,660.3613441620827,1005.1006062400402,1.878144284738582,179.6153846153846
3,0.061224489795918366,0.061224489795918366,0.061224489795918366,0.061224489795918366,0.061224489795918366,0.061224489795918366,0.061224489795918366,0.061224489795918366,0.061224489795918366,0.061224489795918366,0.061224489795918366,0.061224489795918366,0.061224489795918366,0.061224489795918366,0.061224489795918366,0.061224489795918366,0.061224489795918366,0.061224489795918366,0.061224489795918366,0.061224489795918366,0.061224489795918366,0.061224489795918366,0.061224489795918366,0.061224489795918366,0.061224489795918366,0.061224489795918366,0.061224489795918366,0.061224489795918366,14.5,15.591444111105474,0.9216566037541781,0.015288608385553857,0.009081580298713388,1430.13104284753,23.72327542064824,14.091853571492063,1.624379431470572,5.573,14.5,15.626851386592973,0.8958564391331402,0.009741901151196782,0.0091593448494062,204.72152399673104,2.2262237152956534,2.0930976822541663,1.9078449250116023,2.0083333333333337,14.5,16.56453537500224,0.7959844679909455,0.03191816185185472,0.01635498543743216,35.15138742247792,1.4095346306187764,0.7222508133245408,2.580114584493708,12.86095238095238,14.5,15.768878606425899,0.7191434854808438,0.011071788202892239,0.015574544281670578,509.6920340265982,7.847115858486297,11.038438523369555,3.0366707532168298,42.29846153846154,14.5,18.577246174981326,0.6120927106073473,0.11365492365080623,0.09139170952630664,16.795486772957045,3.1186284916944502,2.5077381610768534,3.1860496114549934,9.065384615384616,14.5,15.752664894488595,0.7274765065368575,0.019552172758095208,0.020056200425460174,21.850991476873656,0.5872826908532667,0.6024220172297706,3.2355819456951203,17.29950980392157,14.5,16.84274119702027,0.8750145592587392,0.020274025330268307,0.024637494007383576,32204.394895536643,746.1735475706627,906.7684392844277,1.858466579472735,174.15862068965515
4,0.08163265306122448,0.08163265306122448,0.08163265306122448,0.08163265306122448,0.08163265306122448,0.08163265306122448,0.08163265306122448,0.08163265306122448,0.08163265306122448,0.08163265306122448,0.08163265306122448,0.08163265306122448,0.08163265306122448,0.08163265306122448,0.08163265306122448,0.08163265306122448,0.08163265306122448,0.08163265306122448,0.08163265306122448,0.08163265306122448,0.08163265306122448,0.08163265306122448,0.08163265306122448,0.08163265306122448,0.08163265306122448,0.08163265306122448,0.08163265306122448,0.08163265306122448,14.5,15.609539799665493,0.9274379555345438,0.014117493706181046,0.010317887271923601,1502.6296708727227,22.873082554659838,16.716981942556423,1.614466980506498,5.618766666666667,14.5,15.65307302736786,0.9036737663956602,0.008721611650816042,0.01057497508255163,226.7111471585942,2.188053538739709,2.653020173088808,1.8911856912209215,2.0701666666666667,14.5,16.60040514031312,0.8123988152390604,0.0328500678440369,0.013641307777247886,38.76515161531618,1.5675033452292577,0.6509208953740246,2.5399904370812973,12.926666666666666,14.5,15.829528640975052,0.7183854785556036,0.015852776752598306,0.017103675530201295,550.2937162653841,12.143457367558119,13.101664009461578,3.0552782719487506,42.225641025641025,14.5,18.640225575674915,0.6280505088700378,0.12197106220156055,0.10035031188977396,18.633580585802317,3.6187497415737084,2.9772854205193138,3.1096815929845496,9.51,14.5,15.825779846227157,0.7340225567443459,0.020004005776313238,0.020189753533573433,22.72268381701334,0.6192516757862911,0.6250017546076602,3.251012832690213,17.514705882352942,14.5,16.672074061750166,0.8900089402788658,0.016207294693290453,0.029386591775161786,33899.39193190011,617.3167595277293,1119.3006576055593,1.8107021856131267,178.7456233421751
5,0.1020408163265306,0.1020408163265306,0.1020408163265306,0.1020408163265306,0.1020408163265306,0.1020408163265306,0.1020408163265306,0.1020408163265306,0.1020408163265306,0.1020408163265306,0.1020408163265306,0.1020408163265306,0.1020408163265306,0.1020408163265306,0.1020408163265306,0.1020408163265306,0.1020408163265306,0.1020408163265306,0.1020408163265306,0.1020408163265306,0.1020408163265306,0.1020408163265306,0.1020408163265306,0.1020408163265306,0.1020408163265306,0.1020408163265306,0.1020408163265306,0.1020408163265306,15.0,15.37158210812355,0.8785658848304289,0.02030954376729331,0.009585644695595835,1089.0581050684125,25.175429221544913,11.882232429340874,1.6779604932753034,5.184233333333333,15.0,15.341442242827796,0.8549529019518732,0.016550999543090167,0.010367283416005908,159.67883865588234,3.091216346071245,1.9362888553332258,1.9358441598470273,1.9183,15.0,16.023022290471754,0.7296859220216716,0.04061967401568286,0.015135871261590375,31.37025385131635,1.7462985741855175,0.6507130114575952,2.596302453553193,13.30095238095238,15.0,15.596158304162971,0.679032356777864,0.016904275316811313,0.013650183899173274,442.307261451371,11.011086066175162,8.891440000591956,2.9981973213923703,43.21641025641025,15.0,17.597269763614857,0.5302991992243513,0.13374024868681456,0.07361653113728539,12.021205039424254,3.031720496352509,1.6687926672091236,3.207118657166941,8.602307692307694,15.0,15.709664007786904,0.6772172030571301,0.02608817716758169,0.021944215911055786,19.212579458757443,0.7401187898116962,0.6225550531617579,3.2806841008348124,17.264215686274508,15.0,16.44863845012197,0.7710863946865552,0.04569782637161115,0.02193514268260486,26114.109384339095,1547.6320743279182,742.8696956940568,1.9548025257529706,167.50954907161804
6,0.12244897959183673,0.12244897959183673,0.12244897959183673,0.12244897959183673,0.12244897959183673,0.12244897959183673,0.12244897959183673,0.12244897959183673,0.12244897959183673,0.12244897959183673,0.12244897959183673,0.12244897959183673,0.12244897959183673,0.12244897959183673,0.12244897959183673,0.12244897959183673,0.12244897959183673,0.12244897959183673,0.12244897959183673,0.12244897959183673,0.12244897959183673,0.12244897959183673,0.12244897959183673,0.12244897959183673,0.12244897959183673,0.12244897959183673,0.12244897959183673,0.12244897959183673,14.5,15.425690942062486,0.8833554974943093,0.020653278952736474,0.011409263080160246,1209.6272929685472,28.28167140113806,15.623331777033666,1.6604515870287222,5.3134,14.5,15.438094817574173,0.8617248784068307,0.012908826387277443,0.01065773333044132,187.02834180888098,2.801725300509892,2.3131491757774487,1.9091599908241852,2.006066666666667,14.5,16.144491798413156,0.7466717389804374,0.03800879044567935,0.01355190147180161,34.504587234962756,1.756431316684295,0.6262494508924354,2.559438585084284,13.046190476190475,14.5,15.624192515035693,0.6700923586023352,0.01874987682423505,0.014840306596966413,481.75171362984,13.479910902527012,10.669190660213976,3.1025246262688286,43.209487179487176,14.5,17.810970742131772,0.5471326403541898,0.1333579793852945,0.0812423015412236,14.546947239381925,3.545669453777464,2.160038328843026,3.193033234982472,8.997692307692308,14.5,15.696050963168535,0.6866710183179077,0.025011087545681758,0.019826966704430654,20.55082381901413,0.7485366936445813,0.5933853166052391,3.2917709781401547,17.20735294117647,14.5,16.39877006994415,0.7981890080610562,0.03277886738258163,0.024844209427468063,28466.581033073053,1169.0242224523831,886.0428967665748,1.9220607563343266,170.1031830238727
7,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,15.0,15.232963518518023,0.8637966126769128,0.03560836215435186,0.010924995726486059,728.4749535728557,30.02998574723424,9.213494979995183,1.6899567858466682,4.589566666666666,15.0,15.2234392289165,0.833330112110151,0.026837095888551692,0.012550612984955597,114.82253203523791,3.697818256672645,1.7293184784572513,1.971754436910372,1.7314333333333336,15.0,15.620535925818679,0.6770327433194027,0.06967572965122551,0.01934320368697435,24.46106555732974,2.5173709950825165,0.698866307641257,2.762906579111693,13.6,15.0,15.388447934478632,0.6221556117753151,0.02942644421320902,0.016962781885150328,363.7032493622895,17.20227733216582,9.91619905548803,3.1392634652865445,44.71333333333333,15.0,16.710915671212213,0.47218574514412215,0.17882375059220418,0.08184804642527398,7.611210693235011,2.882478466808324,1.3193170962463048,3.4661001118580628,7.378461538461537,15.0,15.371553512111602,0.658448892091143,0.0366575007262677,0.024618330523420866,15.368927553231597,0.8556267308086813,0.5746191433238722,3.214208243007273,16.71372549019608,15.0,15.984788577277385,0.7181169217961264,0.09274702064046136,0.020175123047157163,19154.18466677609,2473.8221683975826,538.1268993823941,2.0085746953841648,151.02970822281168
8,0.16326530612244897,0.16326530612244897,0.16326530612244897,0.16326530612244897,0.16326530612244897,0.16326530612244897,0.16326530612244897,0.16326530612244897,0.16326530612244897,0.16326530612244897,0.16326530612244897,0.16326530612244897,0.16326530612244897,0.16326530612244897,0.16326530612244897,0.16326530612244897,0.16326530612244897,0.16326530612244897,0.16326530612244897,0.16326530612244897,0.16326530612244897,0.16326530612244897,0.16326530612244897,0.16326530612244897,0.16326530612244897,0.16326530612244897,0.16326530612244897,0.16326530612244897,15.0,15.269367464967443,0.8578551067847705,0.03725287614203576,0.010119121293365693,774.2707588701381,33.62317535031705,9.133173727062696,1.7280891752868854,4.6595,15.0,15.221761771122862,0.8390261188281931,0.026291670828865587,0.011490944772548115,121.84917060724027,3.818258111976426,1.6687944017572371,1.9733797008289968,1.7904666666666664,15.0,15.681790878272569,0.7043347082459209,0.05838197377898784,0.014601596335094726,27.34571710413855,2.2666736712682543,0.5669053618594538,2.615693242500016,13.668095238095237,15.0,15.424335939625943,0.6310737829806448,0.027292795961774734,0.01775339890578283,389.2479375867975,16.834266967835553,10.950342250937116,3.142314080928716,44.85153846153846,15.0,16.828812602879545,0.4957879120633207,0.16864418972536663,0.07143428393444694,8.225053677968901,2.7977840508373557,1.1850850041157461,3.339966096925338,7.863076923076922,15.0,15.45779591563371,0.6421692304294129,0.03492087846477908,0.025144503952744163,15.923474707401136,0.8659115053243911,0.6234927706734466,3.351717056505316,16.92401960784314,15.0,16.0700049835196,0.7186619118366371,0.08516695613964284,0.023603238532810718,20049.210172995747,2375.985390785755,658.4824968645974,2.057642876217506,155.59522546419097
9,0.18367346938775508,0.18367346938775508,0.18367346938775508,0.18367346938775508,0.18367346938775508,0.18367346938775508,0.18367346938775508,0.18367346938775508,0.18367346938775508,0.18367346938775508,0.18367346938775508,0.18367346938775508,0.18367346938775508,0.18367346938775508,0.18367346938775508,0.18367346938775508,0.18367346938775508,0.18367346938775508,0.18367346938775508,0.18367346938775508,0.18367346938775508,0.18367346938775508,0.18367346938775508,0.18367346938775508,0.18367346938775508,0.18367346938775508,0.18367346938775508,0.18367346938775508,15.0,15.143014591340233,0.8584771024581198,0.051490024931482935,0.01497651019091988,667.0733391198181,40.00994640865524,11.637387453681429,1.6741180442188197,4.571766666666667,15.0,15.121404536942592,0.8327654956608482,0.04203305009008765,0.015315550350616776,109.69297630930873,5.536649142843133,2.0173846185126174,1.9406222857048547,1.798433333333333,15.0,15.33138105042855,0.678834989594719,0.09255175772833359,0.01768510740599043,23.940916211040424,3.2640831879945056,0.6237122144261392,2.6197590865904345,13.534285714285714,15.0,15.198529061920317,0.6525304513645817,0.04543023508493171,0.018941056566747688,353.4756436475453,24.609551254081385,10.260367385605676,2.9207934800939994,45.015897435897436,15.0,15.903127981665557,0.47366060253408543,0.2120103933501369,0.06435728517906741,7.426140655356949,3.323939109549168,1.009005708686277,3.296204887553261,7.746153846153847,15.0,15.32010716408107,0.6425357578317382,0.05712683821901023,0.026230920764695388,14.380871157238966,1.278580514834409,0.5870856014703117,3.222446827248933,16.884313725490195,15.0,15.463491876100967,0.7019067575606958,0.14293588739625807,0.023636304354162255,17387.845670005914,3540.8508665576765,585.5256526489891,1.9757507809461856,150.82334217506633
10,0.2040816326530612,0.2040816326530612,0.2040816326530612,0.2040816326530612,0.2040816326530612,0.2040816326530612,0.2040816326530612,0.2040816326530612,0.2040816326530612,0.2040816326530612,0.2040816326530612,0.2040816326530612,0.2040816326530612,0.2040816326530612,0.2040816326530612,0.2040816326530612,0.2040816326530612,0.2040816326530612,0.2040816326530612,0.2040816326530612,0.2040816326530612,0.2040816326530612,0.2040816326530612,0.2040816326530612,0.2040816326530612,0.2040816326530612,0.2040816326530612,0.2040816326530612,15.0,15.109639195633445,0.8584422452568568,0.06034606739923932,0.01241469818632341,573.8819558985296,40.342282059403736,8.299418296830726,1.6271514691602558,4.344433333333333,15.0,15.108197769147282,0.8267254912802748,0.048450265114616,0.014908408151752778,96.48657585701632,5.654597843637927,1.739950284844659,1.9360735744867243,1.7163,15.0,15.283007999311357,0.6863145459700414,0.09558911701926104,0.017270163708005628,23.153052248467855,3.2247310416592385,0.58261478649835,2.6039163276942765,13.657142857142855,15.0,15.205790969300416,0.62801773674302,0.049823363303215164,0.016502539360127983,334.37415698350065,26.527348079362053,8.786412172444367,3.02360040382248,45.761538461538464,15.0,15.821426875613291,0.48546262339483676,0.2089905677150956,0.054686150356622866,5.732660024545851,2.4678972495747726,0.6457698140660811,3.3274694780500607,7.1184615384615375,15.0,15.335987071083434,0.6184350066493786,0.058844407919127796,0.02587347707213038,13.100518164871156,1.246521019277744,0.5480866262863291,3.3735245008412074,16.620588235294118,15.0,15.494465002179197,0.6779161586899304,0.17474208786919362,0.019954147113497547,15552.644402127196,4008.9051129372365,457.78486089443595,2.054500970916691,142.38514588859417
11,0.22448979591836732,0.22448979591836732,0.22448979591836732,0.22448979591836732,0.22448979591836732,0.22448979591836732,0.22448979591836732,0.22448979591836732,0.22448979591836732,0.22448979591836732,0.22448979591836732,0.22448979591836732,0.22448979591836732,0.22448979591836732,0.22448979591836732,0.22448979591836732,0.22448979591836732,0.22448979591836732,0.22448979591836732,0.22448979591836732,0.22448979591836732,0.22448979591836732,0.22448979591836732,0.22448979591836732,0.22448979591836732,0.22448979591836732,0.22448979591836732,0.22448979591836732,15.0,15.179278030391025,0.8558910136370041,0.057842775966483184,0.01449592374685329,502.35812703512977,33.95033729067629,8.508262135115421,1.7841001633987488,4.0772666666666675,15.0,15.157718304550581,0.8258205843968166,0.04749559823689508,0.015909946866088535,89.4308340117328,5.143454937387108,1.7229406050176157,2.064565739286667,1.6864666666666663,15.0,15.365051988894791,0.6729384549213139,0.09805807150474652,0.016967551529726288,21.41711532098127,3.1208218377351447,0.5400137340484304,2.8252122278626133,13.806666666666668,15.0,15.222514436711753,0.6506086008619246,0.05058658048467463,0.017804853793385922,317.6777280003415,24.70030358404124,8.69371461269921,3.023435337002088,46.202307692307684,15.0,15.92807541228643,0.5031378780930484,0.20174819267553148,0.043508454846018466,5.139714967879807,2.0609225637457627,0.44445283557054754,3.4874563185069163,6.926153846153847,15.0,15.360372427919078,0.6019081168530231,0.058715509833983846,0.02769688028487,12.133978342112743,1.1836569481677848,0.5583465916323006,3.5611393377201144,16.54264705882353,15.0,15.55663756480347,0.6573882133379846,0.20182734401745375,0.021812759591695145,14103.9341881592,4330.104373090769,467.98180968485974,2.187106694584251,136.36551724137928
