number,value,datetime_start,datetime_complete,duration,params_D1_freq,params_D1_weight,params_D2_freq,params_D2_weight,params_FSNtoD1_w,params_FSNtoD2_w,params_delay_delta,params_weight_delta,state
0,6.264471529583149,2024-01-26 03:02:02.016713,2024-01-26 03:02:39.284140,0 days 00:00:37.267427,1109.7352651215829,0.39674653858427394,1082.1319293725908,0.4942301091452179,7.361288473373077,5.566143322029461,0.1769478851935944,0.3226802394965127,COMPLETE
1,5.689438106965478,2024-01-26 03:02:02.019213,2024-01-26 03:02:51.264431,0 days 00:00:49.245218,1260.54477364394,0.4592878112481304,962.6154372576973,0.5258657745508886,7.125110004213671,3.8194018019182527,0.40647733724473445,0.2091174408385349,COMPLETE
2,5.168607722468785,2024-01-26 03:02:02.033559,2024-01-26 03:02:51.276939,0 days 00:00:49.243380,1036.1405190773353,0.4948968208653821,993.2495668620079,0.49918379821924763,6.855052304840782,4.649654082333585,0.30591942937953565,0.486534023436368,COMPLETE
3,6.32150662455321,2024-01-26 03:02:51.267308,2024-01-26 03:03:49.338097,0 days 00:00:58.070789,1023.2932096137124,0.4839836808836641,915.3184030380374,0.35704536670427006,7.3568888011958276,3.975606255236227,0.37931814900568916,0.631107060169533,COMPLETE
4,5.665594633877547,2024-01-26 03:02:51.277988,2024-01-26 03:03:36.384309,0 days 00:00:45.106321,1204.2480967333825,0.35979071721390915,966.5803452062422,0.42130087420355167,6.72012130338262,5.257385865609912,0.23066074296932199,0.9633183286711098,COMPLETE
5,5.0842450641546595,2024-01-26 03:02:51.287376,2024-01-26 03:03:36.391293,0 days 00:00:45.103917,1003.4331265132292,0.5176925125638305,853.1221659403071,0.5429245328946455,5.955027468159093,4.174346296568917,0.34708183942602516,0.8413755772512382,COMPLETE
6,4.412479259421259,2024-01-26 03:03:49.338849,2024-01-26 03:04:21.619331,0 days 00:00:32.280482,1187.5196105920745,0.4473274910810978,836.083210985239,0.5298216007468651,6.288466650390449,3.935029552548177,0.2620217137850747,0.085219292824942,COMPLETE
7,6.577800473781448,2024-01-26 03:03:49.349079,2024-01-26 03:04:46.808733,0 days 00:00:57.459654,1023.3061707259176,0.46390810156881235,828.9470049219856,0.3582431805900923,6.68810986954073,4.995227037255831,0.14869119514139723,0.27346459007645596,COMPLETE
8,6.667152833594843,2024-01-26 03:03:50.633829,2024-01-26 03:04:46.795298,0 days 00:00:56.161469,1107.969732847202,0.3563678071045841,814.6868393451373,0.3933999097298452,7.437863877496784,4.860638314103529,0.39061672721534846,0.2555954313942398,COMPLETE
9,6.16196900557348,2024-01-26 03:04:46.796136,2024-01-26 03:05:17.233646,0 days 00:00:30.437510,1147.3221354559555,0.4435550061041448,949.3683434689169,0.3611733786731196,6.035320236673667,5.166467481558459,0.09538461498045553,0.6245945077546503,COMPLETE
10,6.0048007082416275,2024-01-26 03:04:46.813002,2024-01-26 03:05:46.029007,0 days 00:00:59.216005,1111.5615690119587,0.5441561556199279,844.7672428736025,0.41913941836960084,6.948357594720757,5.009169956287095,0.46058123140707047,0.5330836432358051,COMPLETE
11,6.2816869806601945,2024-01-26 03:04:48.212776,2024-01-26 03:05:46.034411,0 days 00:00:57.821635,1246.8613200632897,0.4069374960868663,966.3664349616481,0.51491881371222,7.412179348450483,3.9535028389314495,0.49803324869976145,0.7657235326697461,COMPLETE
12,3.0448448694885646,2024-01-26 03:05:46.003822,2024-01-26 03:06:15.335565,0 days 00:00:29.331743,1263.012527224691,0.5465356268805647,869.3045186996089,0.465165265319505,6.316168408037461,4.422310014971085,0.017072225583847744,0.034642314867015224,COMPLETE
13,3.0674903080992797,2024-01-26 03:05:47.312982,2024-01-26 03:06:31.820317,0 days 00:00:44.507335,1202.566058872327,0.5380398308686776,880.1417261324018,0.5487007595384323,6.123376621621818,4.336151029065091,0.2940628244063154,0.02895092056731785,COMPLETE
14,3.039949375574674,2024-01-26 03:05:48.532312,2024-01-26 03:06:47.733398,0 days 00:00:59.201086,1192.8692524573605,0.5369039819373336,885.7607107165769,0.5416992509482109,6.106394759567225,4.376954073820078,0.3023656104585194,0.04331437875846325,COMPLETE
15,3.3103934696578796,2024-01-26 03:06:15.391884,2024-01-26 03:07:13.346174,0 days 00:00:57.954290,1296.7395356258446,0.43007708686411894,880.3952013858765,0.46479592929170055,6.327077715529997,4.4185503217714714,0.02403622266784705,0.00796313896966077,COMPLETE
16,3.038147559850918,2024-01-26 03:06:47.600218,2024-01-26 03:07:32.877438,0 days 00:00:45.277220,1284.5294569469509,0.538934296927217,900.9674293391407,0.46532572890871693,5.66159537437903,4.447000681366588,0.03978891348073163,0.001876913708027228,COMPLETE
17,4.139987331850704,2024-01-26 03:06:49.354810,2024-01-26 03:07:53.004422,0 days 00:01:03.649612,1296.0469108738362,0.5152288961602097,896.5356622339328,0.46406968934985376,5.606204382495903,4.530190404987647,0.013272284913645804,0.12176496515553867,COMPLETE
