,FSN_E_l,"GPeTA,GPeTI_E_l",D1_V_peak,D1_ada_b,SNR_E_l,FSN->FSN_weight,GPeTA->FSN_weight,GPeTI->FSN_weight,"GPeTA->GPeTA,GPeTA->GPeTI,GPeTI->GPeTI,GPeTI->GPeTA_weight",D2->GPeTI_weight,STN->GPeTA_weight,STN->GPeTI_weight,FSN->D2_connectivity,"D1->D1,D1->D2,D2->D1,D2->D2_connectivity","D1->D1,D1->D2,D2->D1,D2->D2_weight",GPeTA->D1_weight,D1->SNR_weight,GPeTI->STN_weight,D1_power,D2_power,FSN_power,GPeTI_power,GPeTA_power,STN_power,SNR_power
0,0.5935784003904907,0.5905615402684652,0.6066187392460898,0.5826436501752246,0.6147272181980862,0.5535849057228875,0.6293342142649909,0.6369835642514441,0.6396192394109714,0.5764736141694654,0.586587940805534,0.6382242023957347,0.6239048405021624,0.5934290221063948,0.5845610197623738,0.5733870625678094,0.6208954884631983,0.6084228388877714,0.7849007507859795,0.7132920659476008,0.6005056122401069,0.4916604492203635,0.4300635259765241,0.41778467386245455,0.6111419039350149
1,0.6297216925182342,0.5820059175144684,0.607306363246851,0.58520758451251,0.5688195744682201,0.5638018326995627,0.5547748924952695,0.5969483116854831,0.5898730250831588,0.5583396391574184,0.6137619917412354,0.6099680136510158,0.6028951721616388,0.6095104459988532,0.5830314761418365,0.6230156027916273,0.5752936332109009,0.561465966351905,0.7654039106205199,0.7434745067778669,0.6067760765668062,0.5580766697316344,0.3742141089585805,0.4269646740730816,0.6218506618296255
2,0.6220292359331675,0.621524577048779,0.5769247030320228,0.6069722308008956,0.5593890968556459,0.6432255059793589,0.5974465721541934,0.6178157983300037,0.5598321588432134,0.6099621745392033,0.6373772413358861,0.5645621512403822,0.5880006559582105,0.5942656498239614,0.597877456140086,0.5787376715445138,0.6497833288893515,0.5787633429548548,0.6559226999336042,0.5713272584872797,0.3989610426128924,0.33801272873034777,0.24409873735951684,0.2736790586678081,0.521797689726689
3,0.6259597646715981,0.5768206084459955,0.5952391830666579,0.5560486490231308,0.5611682586871111,0.6426846744750253,0.5895126259923446,0.628527029849761,0.6088637963791685,0.5572006182640297,0.5819262479074998,0.5690571570021649,0.6278500809431944,0.6180498760454559,0.6196286425311587,0.6413260269695924,0.6402498183637257,0.6323810978520519,0.789222434623137,0.7467805643723406,0.652551825032515,0.592685336735548,0.43613866853714894,0.4561093662926773,0.6023132653205805
4,0.6192713798945886,0.6141113103495657,0.6462540997494006,0.5978808442763917,0.6059803862758723,0.5790638278611955,0.6028978899724864,0.5737703876775734,0.6265620594748911,0.5501809598522949,0.5541628245760657,0.5949427077700962,0.5506894649688152,0.6198283280327669,0.5608655039968127,0.5674495190283636,0.557361360564651,0.5876274270548746,0.8085728648514618,0.7472446356756037,0.6094128697309552,0.5756797052509607,0.4884070224012414,0.46487372606169475,0.56230167585955
5,0.6441938573652196,0.6400889855784634,0.6022870256037356,0.5910445751414405,0.5825933799847373,0.6213861727128862,0.5999532171326692,0.6354203440803381,0.6298665580386774,0.6296863647766371,0.6318323728601669,0.5712418928753317,0.5741091714447322,0.6029839007634705,0.5885547880709271,0.5789258324291361,0.588864248182234,0.5744768841942577,0.7493030098358034,0.6808644622543675,0.4990776109132079,0.42639125588981847,0.3954128838167485,0.3445036684816919,0.5712435166939711
6,0.6089184836628172,0.586742140416399,0.6234664583215331,0.562635839173588,0.6108161073522907,0.6306687571285252,0.5738057871585917,0.5759073631989867,0.6440145286226018,0.6194089803940165,0.6095268454285705,0.5748622924218083,0.6234045557529133,0.5508601660505492,0.6429014296705782,0.6050712706968295,0.5569216058013134,0.561245506291719,0.8093523577531737,0.7715246854277166,0.6442820381433034,0.5975711013028254,0.4950033115427435,0.49552321409702726,0.5683779793454711
7,0.6278176761975837,0.5970178707834375,0.6448301460888494,0.551474196118229,0.6159784504677327,0.6349697241751374,0.6224622572823459,0.55384663309367,0.6128678728641792,0.6339070287234588,0.5685969932196078,0.6224986676476225,0.5568099831027676,0.6075924635230203,0.5797250621639589,0.6086901807115148,0.6015251388350574,0.5632248944891087,0.7749276205233284,0.6737066495148384,0.5150021129658552,0.48852135305707084,0.35991267490191736,0.3812138319135626,0.5745449189687745
8,0.6461933266084459,0.5796651419325957,0.5962079029431435,0.5900239881943736,0.5744895834053221,0.6391401412074291,0.6319782741336568,0.5803020797465132,0.5620128936037332,0.628534779476688,0.6457768276564106,0.5513323066227493,0.5546993008868631,0.5712446251771036,0.5919365355101741,0.5775566477643846,0.5743486109862725,0.6409912202148893,0.5838219255078972,0.506330187113471,0.32003312140838436,0.252133373121101,0.2363747395969669,0.2161647128019695,0.45324708156116833
9,0.5850899026599049,0.636883121132164,0.6270970893585405,0.559549689763741,0.6073316255249542,0.5854487642083442,0.6457434653898239,0.6499417279152873,0.6067476547763635,0.6460920117975328,0.6159222705514338,0.5842815517117582,0.6192099535704689,0.5833448038811604,0.5628272876261878,0.5587694803391349,0.5934158303649162,0.5525662708552439,0.7158127763358214,0.5918737233042454,0.4204766922266217,0.38912327349645054,0.3137057432777981,0.2459398401633476,0.5270973209934185
